ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9
126;1;365310;0;0;0;0;0;0;0;0;0
127;1;278964;0;0;0;0;0;0;0;0;0
128;1;544644;0;0;0;0;0;0;0;0;0
129;1;405162;0;0;0;0;0;0;0;0;0
130;1;132430;0;0;0;0;0;0;0;0;0
131;1;272322;0;0;0;0;0;0;0;0;0
132;1;398520;0;0;0;0;0;0;0;0;0
133;1;948990;475;91;118;18;45;19;45;3;2
134;1;378418;84;62;4;15;0;8;1;0;2
135;1;365043;95;33;0;49;8;0;4;12;66
136;1;404765;169;170;10;23;6;2;0;15;2
137;1;338482;144;0;85;0;10;10;0;0;11
138;1;358460;87;28;9;4;78;0;0;0;2
139;1;318688;98;21;2;4;1;0;0;0;2
140;1;411691;108;2;0;1;0;0;0;0;2
141;1;451061;471;62;28;13;16;3;0;1;1
142;1;365223;59;17;2;2;5;0;0;0;2
143;1;571032;87;41;27;14;6;1;1;1;2
144;1;371526;166;217;11;0;6;9;15;1;1
145;1;390474;1032;210;93;20;8;0;26;0;15
146;1;331906;99;37;0;10;44;0;0;3;1
147;1;418032;195;117;0;10;8;0;5;13;66
148;1;497729;302;37;70;1;2;7;0;0;2
149;1;736284;408;219;247;22;2;76;1;0;3
150;1;471582;0;0;0;0;0;0;0;0;0
151;1;1081476;854;135;36;33;15;11;62;20;4
152;1;630626;190;71;27;14;51;1;2;6;2
153;1;1300885;668;137;87;3;19;9;10;6;8
154;1;398055;301;118;26;2;10;2;2;3;1
155;1;371929;18;2;0;0;0;0;0;0;3
156;1;405162;0;0;0;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0;0;0;0
160;1;451435;93;51;3;5;61;0;0;2;6
161;1;477824;268;43;78;1;2;6;0;0;2
162;1;46740;0;0;0;0;0;0;0;0;0
163;1;411402;276;3;109;9;0;1;2;1;1
164;1;570943;249;6;0;2;5;2;1;1;3
165;1;365075;155;27;20;2;22;6;0;1;2
166;1;351607;150;220;11;0;20;0;16;1;1
167;1;424711;319;11;14;17;14;0;0;1;1
168;1;325206;111;79;0;11;47;0;0;3;1
169;1;351653;301;51;5;13;1;0;0;0;2
170;1;471124;306;61;78;2;2;7;0;0;2
171;1;471152;281;58;78;2;2;7;0;0;2
172;1;371840;80;10;2;13;5;0;0;0;2
173;1;371774;82;63;5;15;0;10;1;0;2
174;1;1113917;1395;368;56;34;4;14;0;53;15
175;1;471148;306;46;70;1;2;7;0;0;2
176;1;343942;1003;336;32;17;25;1;26;0;2
177;1;477869;240;34;69;1;2;7;0;0;2
178;1;151514;276;63;25;3;2;2;2;10;8
179;1;437991;218;30;76;12;25;16;0;0;4
180;1;351827;68;5;11;101;9;0;2;1;2
181;1;345324;27;25;0;3;1;0;0;0;4
182;1;344950;205;149;42;11;23;0;2;0;2
183;1;391707;126;18;15;2;6;1;2;0;1
184;1;458153;95;22;9;2;0;13;0;1;3
185;1;391390;195;262;5;21;1;2;0;0;2
186;1;484866;0;0;0;0;0;0;0;0;0
187;1;385236;0;0;0;0;0;0;0;0;0
188;1;338742;0;0;0;0;0;0;0;0;0
189;1;1089288;0;0;0;0;0;0;0;0;0
190;1;398520;0;0;0;0;0;0;0;0;0
191;1;504792;0;0;0;0;0;0;0;0;0
192;1;418446;0;0;0;0;0;0;0;0;0
193;1;278964;0;0;0;0;0;0;0;0;0
194;1;358668;0;0;0;0;0;0;0;0;0
195;1;464552;255;43;79;1;2;6;0;0;2
196;1;424865;84;120;14;3;0;0;0;0;2
197;1;609815;792;189;153;60;17;9;13;15;1
198;1;983016;0;0;0;0;0;0;0;0;0
199;1;352026;0;0;0;0;0;0;0;0;0
200;1;257070;0;0;0;0;0;0;0;0;0
201;1;471298;211;17;29;22;0;1;2;1;1
202;1;358422;142;34;17;9;34;1;0;8;1
203;1;750170;265;37;53;4;14;0;1;0;2
204;1;1108284;583;166;52;92;19;4;0;7;7
205;1;1076004;0;0;0;0;0;0;0;0;0
206;1;338742;0;0;0;0;0;0;0;0;0
207;1;338742;0;0;0;0;0;0;0;0;0
208;1;590991;131;7;0;2;0;2;1;1;3
209;1;303691;75;8;0;1;11;0;0;0;24
210;1;338282;179;228;12;0;14;9;16;1;1
211;1;405036;71;23;0;0;11;1;2;16;2
212;1;384811;165;217;11;0;6;9;15;1;1
213;1;351631;237;116;26;2;8;2;2;1;1
214;1;1108344;677;84;25;14;52;15;1;0;2
215;1;159194;320;91;36;27;4;3;2;10;8
216;1;510163;612;294;195;89;51;5;6;4;15
217;1;623696;315;161;84;25;42;15;2;6;2
218;1;318531;101;100;35;42;5;0;0;0;2
219;1;498137;3;1;0;6;0;0;0;2;1
220;1;1082646;0;0;0;0;0;0;0;0;0
221;1;418446;0;0;0;0;0;0;0;0;0
222;1;365310;0;0;0;0;0;0;0;0;0
223;1;358668;0;0;0;0;0;0;0;0;0
224;1;431730;0;0;0;0;0;0;0;0;0
225;1;365310;0;0;0;0;0;0;0;0;0
226;1;332100;0;0;0;0;0;0;0;0;0
227;1;511434;0;0;0;0;0;0;0;0;0
228;1;411709;81;5;0;3;0;0;4;0;2
229;1;1095326;514;43;27;1;1;15;1;0;2
230;1;358668;0;0;0;0;0;0;0;0;0
231;1;8840;0;0;0;0;0;0;0;0;0
232;1;358668;0;0;0;0;0;0;0;0;0
233;1;1095930;0;0;0;0;0;0;0;0;0
234;1;391705;87;60;20;0;4;0;0;0;2
235;1;969197;344;133;13;28;10;0;2;1;4
236;1;325277;118;56;0;4;0;0;0;0;3
237;1;351828;188;1;2;0;0;1;1;3;2
238;1;291873;61;267;13;2;9;6;13;0;4
239;1;365231;59;14;2;0;0;0;2;0;2
