ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
63;1;510060;976;308;0;46;14;13;0;1;13;0;0;1;0;0;0;0;0;0;1;0;1
64;1;404905;0;158;0;0;31;0;0;49;0;0;7;0;1;0;0;6;0;0;2;0;3
65;1;611064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;1;637632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;1;352026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;1;511434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;1;171316;0;15;0;17;0;4;0;0;0;0;12;0;14;0;0;0;0;0;0;0;2
70;1;504507;165;19;24;9;4;0;0;55;0;0;1;0;7;0;0;0;0;0;0;0;1
71;1;484364;237;169;0;12;9;0;62;2;0;1;2;0;0;6;0;0;0;0;0;0;2
72;1;423297;1267;377;0;60;13;32;0;4;13;0;15;1;0;0;4;0;0;0;0;0;5
73;1;484375;233;141;0;21;15;0;70;0;0;1;2;0;0;6;0;0;0;0;0;0;2
74;1;12543;0;0;0;20;0;0;0;3;0;0;0;0;7;0;0;0;6;0;0;0;1
75;1;54408;0;0;0;0;0;0;87;0;0;0;0;0;0;31;0;0;0;0;0;0;4
76;1;216834;833;219;0;71;16;50;0;21;8;0;13;4;24;0;2;0;0;0;0;0;25
77;1;517087;529;162;95;83;0;28;15;32;7;0;0;0;0;0;4;0;0;0;0;0;34
78;1;1080828;1022;373;277;34;16;34;24;0;13;1;0;6;1;14;1;0;0;0;0;0;2
79;1;364550;414;225;0;41;50;0;12;4;0;8;0;0;3;0;0;0;1;0;0;0;2
80;1;371597;155;98;15;11;9;0;1;0;53;1;3;4;1;0;1;0;2;0;0;0;1
81;1;268038;315;222;74;49;24;3;0;5;2;0;1;1;0;0;3;0;3;0;9;4;2
82;1;318363;191;0;225;23;0;1;8;0;0;0;1;0;0;0;0;0;0;0;0;0;4
83;1;410519;663;0;435;0;58;0;34;0;13;0;4;30;0;34;0;7;0;6;0;0;1
84;1;655773;1163;0;289;0;157;0;77;0;18;0;29;31;0;15;0;2;0;0;0;2;2
85;1;484159;258;317;0;26;17;0;78;0;0;1;2;0;0;6;0;0;0;0;0;0;2
86;1;484605;160;26;0;40;1;0;16;3;0;3;7;0;1;0;0;2;1;0;0;0;1
87;1;182731;183;92;28;9;0;3;0;7;0;0;2;0;2;4;0;0;0;0;2;0;2
88;1;291734;0;0;241;0;0;0;91;0;0;0;23;0;0;31;0;0;0;3;0;0;2
89;1;278697;82;0;153;11;0;1;8;0;2;0;1;5;0;0;0;0;0;0;0;0;4
90;1;365024;108;82;0;43;20;0;5;15;0;0;0;0;2;8;0;1;0;0;0;0;2
91;1;443002;1393;433;0;79;25;20;0;6;17;0;3;14;1;0;4;9;5;0;2;0;1
92;1;609326;1138;0;269;0;162;0;75;0;18;0;25;26;0;15;0;2;0;6;0;0;2
93;1;311027;689;275;0;99;10;0;17;0;0;28;15;0;1;4;0;0;6;0;2;0;1
94;1;484303;203;266;0;10;4;0;70;0;0;0;2;0;0;6;0;0;0;0;0;0;2
95;1;935081;806;262;160;59;16;45;1;63;1;1;5;2;6;0;0;0;0;0;0;13;1
96;1;391878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;1;325458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;1;963090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;1;391878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;1;451045;337;89;31;93;13;6;15;6;2;2;0;0;0;1;0;0;0;0;0;0;16
102;1;344971;0;150;0;0;220;0;0;11;0;0;14;0;0;0;0;16;0;0;1;0;1
103;1;305035;256;172;15;8;10;5;15;5;0;0;2;0;0;0;0;5;1;2;0;0;1
104;1;351526;0;0;196;0;0;152;0;0;110;0;0;11;0;0;10;0;0;8;0;0;13
105;1;371329;279;93;115;47;4;5;1;66;0;2;0;3;7;0;0;0;0;0;0;0;1
106;1;378223;157;0;103;0;14;0;16;0;70;0;2;1;0;2;0;2;0;1;0;1;2
107;1;384363;477;0;173;0;81;0;78;0;52;0;1;9;0;0;0;0;0;0;0;0;2
108;1;378263;130;99;0;40;22;0;4;25;0;0;0;0;0;8;0;1;0;0;0;0;2
109;1;171006;275;0;62;0;9;0;8;0;0;0;16;1;0;1;0;0;0;0;0;0;2
110;1;397951;0;317;0;192;0;16;0;9;0;0;18;0;1;0;1;0;0;0;13;0;2
111;1;331766;136;0;109;0;28;0;3;0;44;0;1;9;0;0;0;2;0;0;0;0;2
112;1;450490;757;316;0;30;17;17;0;4;13;0;0;6;1;0;3;0;0;0;1;0;1
113;1;338409;245;57;0;4;3;0;10;12;0;0;0;0;0;0;0;0;0;0;0;0;2
114;1;258337;427;0;220;9;0;10;9;0;2;0;14;5;0;1;0;0;0;0;0;0;4
115;1;391551;0;0;146;0;0;33;0;0;108;0;0;10;0;0;9;0;0;8;0;0;13
116;1;1095930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;1;418446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;1;318816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;1;352026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;1;1069362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
