ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8
137;1;338482;144;0;85;10;0;10;0;11
138;1;358460;87;28;13;12;66;0;0;2
139;1;318763;44;0;3;4;0;0;0;2
140;1;411775;25;1;1;0;0;0;0;2
141;1;451061;471;85;18;15;1;3;1;1
142;1;365223;74;2;4;5;0;0;0;2
143;1;571032;87;55;27;6;1;1;1;2
144;1;371526;166;217;11;6;9;15;1;1
145;1;390474;1032;210;93;20;8;0;26;15
146;1;331906;99;37;10;0;44;0;3;1
147;1;418032;195;117;10;0;8;5;13;66
148;1;497729;315;24;70;3;1;6;0;2
149;1;736284;408;344;122;24;37;40;0;3
150;1;471582;0;0;0;0;0;0;0;0
151;1;1081476;854;155;43;20;1;73;20;4
152;1;630626;190;71;41;25;26;3;6;2
153;1;1300885;759;89;47;13;6;10;15;8
154;1;398055;301;118;28;2;10;2;3;1
155;1;371929;18;2;0;0;0;0;0;3
156;1;405162;0;0;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0;0;0
160;1;451528;51;3;5;61;0;0;2;6
161;1;477824;294;17;78;3;0;6;0;2
162;1;46740;0;0;0;0;0;0;0;0
163;1;411402;276;112;9;0;1;2;1;1
164;1;570943;249;6;0;2;6;1;2;3
165;1;365075;180;2;22;22;3;3;1;2
166;1;351607;150;220;11;20;0;16;1;1
167;1;424711;319;25;17;0;14;0;1;1
168;1;325206;111;79;11;0;47;0;3;1
169;1;351933;70;4;13;4;0;0;0;2
170;1;471124;336;31;78;4;1;6;0;2
171;1;471152;307;32;78;4;1;6;0;2
172;1;371840;81;9;15;5;0;0;0;2
173;1;371774;125;20;20;0;2;9;0;2
174;1;1114892;725;93;39;25;14;0;53;15
175;1;471148;332;20;70;3;1;6;0;2
176;1;343942;1003;336;32;17;25;1;26;2
177;1;477869;252;22;69;3;1;6;0;2
178;1;151722;111;37;9;2;4;0;4;16
179;1;437991;218;43;63;37;14;2;0;4
180;1;351827;68;5;112;0;9;2;1;2
181;1;345324;27;25;3;0;1;0;0;4
182;1;344950;205;149;53;10;13;2;0;2
183;1;391707;126;33;2;5;1;3;0;1
184;1;458153;95;22;9;2;13;0;1;3
185;1;391390;392;65;26;1;0;2;0;2
186;1;484866;0;0;0;0;0;0;0;0
187;1;385236;0;0;0;0;0;0;0;0
188;1;338742;0;0;0;0;0;0;0;0
189;1;1089288;0;0;0;0;0;0;0;0
190;1;398520;0;0;0;0;0;0;0;0
191;1;504792;0;0;0;0;0;0;0;0
192;1;418446;0;0;0;0;0;0;0;0
193;1;278964;0;0;0;0;0;0;0;0
194;1;358668;0;0;0;0;0;0;0;0
195;1;464552;280;18;79;3;0;6;0;2
196;1;424865;129;75;15;2;0;0;0;2
197;1;609815;792;189;153;60;17;9;13;16
198;1;983016;0;0;0;0;0;0;0;0
199;1;352026;0;0;0;0;0;0;0;0
200;1;257070;0;0;0;0;0;0;0;0
201;1;471298;211;17;46;5;1;2;1;1
202;1;358422;142;34;17;43;0;1;0;9
203;1;750384;55;84;3;12;5;0;1;2
204;1;1108284;583;166;52;92;19;4;0;14
205;1;1076004;0;0;0;0;0;0;0;0
206;1;338742;0;0;0;0;0;0;0;0
207;1;338742;0;0;0;0;0;0;0;0
208;1;590991;131;7;0;2;1;1;2;3
209;1;303691;75;8;1;9;2;0;0;24
210;1;338282;179;228;12;14;9;16;1;1
211;1;405070;40;20;0;10;2;1;17;2
212;1;384811;165;217;11;6;9;15;1;1
213;1;351631;237;116;28;0;10;2;1;1
214;1;1108730;324;72;17;1;62;6;0;2
215;1;159421;147;65;17;20;5;0;4;16
216;1;510163;612;294;284;29;22;11;4;15
217;1;623696;315;161;109;16;26;17;6;2
218;1;318632;100;35;42;5;0;0;0;2
