ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11
108;1;378393;99;40;22;29;0;0;0;9;0;0;2
109;1;171006;275;62;9;8;0;16;1;1;0;0;2
110;1;397951;317;192;16;9;0;18;1;1;0;13;2
111;1;331766;136;109;28;3;44;1;9;0;2;0;2
112;1;451247;316;30;34;4;13;6;1;3;0;1;1
113;1;338654;57;4;3;22;0;0;0;0;0;0;2
114;1;258764;220;9;10;9;2;19;1;0;0;0;4
115;1;391551;146;0;33;0;108;10;0;9;0;8;13
116;1;1095930;0;0;0;0;0;0;0;0;0;0;0
117;1;418446;0;0;0;0;0;0;0;0;0;0;0
118;1;318816;0;0;0;0;0;0;0;0;0;0;0
119;1;352026;0;0;0;0;0;0;0;0;0;0;0
120;1;365310;0;0;0;0;0;0;0;0;0;0;0
121;1;1069362;0;0;0;0;0;0;0;0;0;0;0
122;1;471582;0;0;0;0;0;0;0;0;0;0;0
123;1;278913;30;0;1;16;0;0;2;0;0;0;2
124;1;491120;265;16;23;71;2;2;1;6;0;0;2
125;1;351448;211;234;71;32;5;10;8;4;0;0;3
126;1;365310;0;0;0;0;0;0;0;0;0;0;0
127;1;278964;0;0;0;0;0;0;0;0;0;0;0
128;1;544644;0;0;0;0;0;0;0;0;0;0;0
129;1;405162;0;0;0;0;0;0;0;0;0;0;0
130;1;132430;0;0;0;0;0;0;0;0;0;0;0
131;1;272322;0;0;0;0;0;0;0;0;0;0;0
132;1;398520;0;0;0;0;0;0;0;0;0;0;0
133;1;948990;475;91;40;78;18;45;4;15;45;3;2
134;1;378418;84;40;22;19;0;0;0;9;0;0;2
135;1;365043;95;0;33;0;49;8;0;4;0;12;66
136;1;404765;169;100;70;20;13;6;2;0;2;13;2
137;1;338482;0;144;0;85;0;10;0;10;0;0;11
138;1;358345;115;87;28;9;4;12;66;0;0;0;2
139;1;318688;98;21;0;3;3;1;0;0;0;0;2
140;1;411691;108;1;1;1;0;0;0;0;0;0;2
141;1;451061;327;144;85;5;13;16;0;3;0;1;1
142;1;365223;59;15;2;4;0;5;0;0;0;0;2
143;1;570575;523;57;19;27;0;6;1;1;1;0;2
144;1;371526;166;0;217;11;0;6;9;0;15;1;1
145;1;390474;1032;210;0;93;20;8;0;0;26;0;15
146;1;331906;99;0;37;0;10;44;0;0;0;3;1
147;1;418032;195;0;117;0;10;8;0;5;0;13;66
148;1;497729;302;13;24;70;1;2;1;6;0;0;2
149;1;736284;408;219;125;122;22;2;37;39;1;0;3
150;1;471582;0;0;0;0;0;0;0;0;0;0;0
151;1;1080325;1675;418;67;43;6;14;1;68;14;14;1
152;1;629709;917;190;71;27;14;25;26;1;2;6;2
153;1;1299757;1536;351;89;44;3;19;0;10;14;1;8
154;1;398055;214;185;20;28;0;2;10;0;2;3;1
155;1;371929;18;0;2;0;0;0;0;0;0;0;3
156;1;405162;0;0;0;0;0;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0;0;0;0;0;0
160;1;451435;93;51;3;5;0;61;0;0;2;0;6
161;1;477824;268;26;17;78;1;2;0;6;0;0;2
162;1;46740;0;0;0;0;0;0;0;0;0;0;0
163;1;411402;261;15;112;0;9;0;1;0;2;1;1
164;1;570943;230;23;2;0;2;0;6;1;1;1;3
165;1;365075;155;25;2;22;0;22;3;3;1;0;2
166;1;351607;150;0;220;11;0;20;0;0;16;1;1
167;1;424711;247;72;25;0;17;14;0;0;0;1;1
168;1;325206;111;0;79;0;11;47;0;0;0;3;1
169;1;351653;301;49;4;13;3;1;0;0;0;0;2
170;1;471124;306;30;31;78;2;2;1;6;0;0;2
171;1;471152;281;26;32;78;2;2;1;6;0;0;2
172;1;371840;80;1;9;15;0;5;0;0;0;0;2
173;1;371774;82;43;20;20;0;0;2;9;0;0;2
174;1;1113917;1395;305;93;39;21;4;14;0;52;10;6
175;1;471148;306;26;20;70;1;2;1;6;0;0;2
176;1;343942;1003;336;0;32;17;25;0;1;26;0;2
177;1;477869;240;12;22;69;1;2;1;6;0;0;2
178;1;151514;276;43;37;8;3;2;2;0;2;10;8
179;1;437991;218;30;13;63;12;25;14;2;0;0;4
180;1;351749;78;68;5;11;101;0;9;0;2;1;2
181;1;345324;27;0;25;0;3;1;0;0;0;0;4
182;1;344537;413;205;149;42;11;10;13;0;2;0;2
183;1;391654;164;25;23;2;0;5;1;1;2;0;1
184;1;457737;416;95;22;9;2;0;13;0;1;1;2
185;1;391390;195;197;65;26;0;1;0;2;0;0;2
186;1;484866;0;0;0;0;0;0;0;0;0;0;0
187;1;385236;0;0;0;0;0;0;0;0;0;0;0
188;1;338742;0;0;0;0;0;0;0;0;0;0;0
189;1;1089288;0;0;0;0;0;0;0;0;0;0;0
190;1;398520;0;0;0;0;0;0;0;0;0;0;0
191;1;504792;0;0;0;0;0;0;0;0;0;0;0
192;1;418446;0;0;0;0;0;0;0;0;0;0;0
193;1;278964;0;0;0;0;0;0;0;0;0;0;0
194;1;358668;0;0;0;0;0;0;0;0;0;0;0
195;1;464552;255;25;18;79;1;2;0;6;0;0;2
196;1;424865;84;45;75;15;2;0;0;0;0;0;2
197;1;609815;792;189;0;153;60;17;0;9;13;15;1
198;1;983016;0;0;0;0;0;0;0;0;0;0;0
199;1;352026;0;0;0;0;0;0;0;0;0;0;0
200;1;257070;0;0;0;0;0;0;0;0;0;0;0
201;1;471298;190;31;7;46;5;0;1;0;2;1;1
202;1;358422;81;85;10;17;9;34;0;1;0;8;1
203;1;750170;243;26;84;2;4;14;0;0;1;0;2
204;1;1108284;583;166;0;52;92;19;0;4;0;7;7
205;1;1076004;0;0;0;0;0;0;0;0;0;0;0
206;1;338742;0;0;0;0;0;0;0;0;0;0;0
207;1;338742;0;0;0;0;0;0;0;0;0;0;0
208;1;590991;122;13;3;0;2;0;1;1;1;1;3
209;1;303691;38;37;8;0;1;11;0;0;0;0;24
210;1;338282;179;0;228;12;0;14;9;0;16;1;1
211;1;405036;62;12;20;0;0;11;1;0;2;16;2
212;1;384811;165;0;217;11;0;6;9;0;15;1;1
213;1;351631;153;181;19;28;0;0;10;0;2;1;1
214;1;1108344;624;86;72;4;14;52;10;6;0;0;2
215;1;159194;320;54;65;8;27;4;3;0;2;10;8
216;1;509128;1035;612;294;195;89;29;22;5;6;4;15
217;1;622653;1043;315;161;84;25;16;26;15;2;6;2
218;1;318531;101;100;35;42;0;5;0;0;0;0;2
219;1;498137;3;0;1;0;6;0;0;0;0;2;1
220;1;1082646;0;0;0;0;0;0;0;0;0;0;0
221;1;418446;0;0;0;0;0;0;0;0;0;0;0
222;1;365310;0;0;0;0;0;0;0;0;0;0;0
223;1;358668;0;0;0;0;0;0;0;0;0;0;0
224;1;431730;0;0;0;0;0;0;0;0;0;0;0
225;1;365310;0;0;0;0;0;0;0;0;0;0;0
226;1;332100;0;0;0;0;0;0;0;0;0;0;0
227;1;511434;0;0;0;0;0;0;0;0;0;0;0
228;1;411709;81;0;5;0;3;0;0;4;0;0;2
229;1;1095326;461;67;56;0;1;1;10;6;0;0;2
230;1;358668;0;0;0;0;0;0;0;0;0;0;0
231;1;8840;0;0;0;0;0;0;0;0;0;0;0
232;1;358668;0;0;0;0;0;0;0;0;0;0;0
233;1;1095930;0;0;0;0;0;0;0;0;0;0;0
234;1;391705;87;60;0;20;0;4;0;0;0;0;2
235;1;969197;344;61;72;13;28;10;0;1;1;1;4
236;1;325277;118;10;46;3;1;0;0;0;0;0;3
237;1;351828;174;15;0;2;0;0;1;1;1;2;2
238;1;291873;61;267;0;13;2;9;0;6;13;0;4
239;1;365199;32;59;14;2;0;0;0;0;2;0;2
240;1;424820;171;51;11;18;13;0;0;2;0;1;1
241;1;311788;306;48;0;20;0;0;0;10;0;0;2
242;1;358603;45;3;8;1;0;0;0;6;0;0;2
243;1;371794;119;22;3;8;3;1;0;0;0;0;2
244;1;418181;171;6;21;17;14;0;13;0;21;0;2
245;1;497843;218;7;3;69;0;2;0;6;0;0;2
246;1;464731;109;7;19;62;1;2;1;6;0;0;2
247;1;272092;386;61;67;24;2;0;0;0;3;9;6
248;1;318611;174;10;11;0;2;0;6;0;0;1;1
249;1;265579;0;68;0;16;0;0;4;0;0;0;13
250;1;1109214;0;0;0;0;0;0;0;0;0;0;0
251;1;405161;0;0;0;0;0;0;0;0;0;0;1
252;1;365149;110;16;31;2;0;0;0;0;0;0;2
253;1;377999;308;210;31;22;19;3;0;0;0;0;2
254;1;497738;260;31;27;80;3;2;1;6;0;0;2
255;1;1101659;667;86;72;4;14;52;10;6;0;0;2
256;1;345303;49;19;6;0;0;3;0;0;0;0;4
257;1;457571;348;100;70;4;13;115;1;2;64;0;10
258;1;351574;177;0;223;11;0;14;9;0;16;1;1
259;1;371516;265;59;77;19;3;8;0;0;1;0;4
260;1;252257;123;4;2;0;0;5;1;1;2;0;1
261;1;490593;593;98;150;5;18;16;1;0;22;1;11
262;1;391626;180;42;2;15;0;8;1;1;2;0;1
263;1;259038;0;0;0;0;0;0;0;0;0;0;0
264;1;371952;0;0;0;0;0;0;0;0;0;0;0
265;1;411804;0;0;0;0;0;0;0;0;0;0;0
