ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
76;1;216834;833;219;71;16;50;21;8;0;13;4;24;2;0;0;0;0;25
77;1;517087;529;162;95;83;28;15;32;7;0;0;0;0;4;0;0;0;34
78;1;1080828;1395;229;82;16;55;3;13;1;0;7;9;6;0;0;0;0;2
79;1;364550;414;225;41;50;0;12;4;8;0;3;0;0;0;1;0;0;2
80;1;371752;98;15;11;9;1;0;53;1;7;1;0;1;2;0;0;0;1
81;1;268353;222;74;49;24;3;5;2;0;1;1;0;3;0;3;0;9;6
82;1;318363;191;225;23;0;1;8;0;0;1;0;0;0;0;0;0;0;4
83;1;410519;663;0;435;58;0;34;13;0;4;30;0;34;7;0;6;0;1
84;1;655773;1163;0;289;157;0;77;18;0;29;31;0;15;2;0;0;2;2
85;1;484159;258;317;26;17;0;78;0;1;2;0;0;6;0;0;0;0;2
86;1;484605;160;26;40;1;0;16;3;3;7;1;0;0;2;1;0;0;1
87;1;182731;183;92;28;9;3;0;7;0;2;0;2;4;0;0;0;2;2
88;1;291734;0;0;241;0;0;91;0;0;23;0;0;31;0;0;3;0;2
89;1;278697;82;153;11;0;1;8;2;0;1;5;0;0;0;0;0;0;4
90;1;365024;108;82;43;20;0;5;15;0;0;2;0;8;1;0;0;0;2
91;1;443002;1393;433;79;25;20;6;17;0;3;14;1;4;9;5;2;0;1
92;1;609326;1138;0;269;162;0;75;18;0;25;26;0;15;2;0;6;0;2
93;1;311027;689;275;99;10;0;17;0;28;15;1;0;4;0;6;2;0;1
94;1;484303;203;266;10;4;0;70;0;0;2;0;0;6;0;0;0;0;2
95;1;935081;806;422;31;44;45;61;3;2;5;2;6;0;0;0;0;13;1
96;1;391878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;1;325458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;1;963090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;1;391878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;1;451045;337;89;124;13;6;21;2;2;0;0;0;1;0;0;0;0;16
102;1;344971;0;150;0;220;0;11;0;0;14;0;0;0;16;0;1;0;1
103;1;305035;349;79;23;10;5;19;1;0;2;0;0;0;5;1;2;0;1
104;1;351526;0;196;0;0;152;0;110;0;0;11;0;10;0;0;8;0;13
105;1;371329;279;208;19;32;5;65;2;2;0;3;7;0;0;0;0;0;1
106;1;378223;157;0;103;14;0;16;70;0;2;1;0;2;2;0;1;1;2
107;1;384363;477;0;173;81;0;78;52;0;1;9;0;0;0;0;0;0;2
108;1;378263;130;99;40;22;0;4;25;0;0;0;0;8;1;0;0;0;2
109;1;171006;275;0;62;9;0;8;0;0;16;1;0;1;0;0;0;0;2
110;1;397951;317;0;192;0;16;0;9;0;18;1;0;1;0;0;0;13;2
111;1;331766;136;0;109;28;0;3;44;0;1;9;0;0;2;0;0;0;2
112;1;450490;757;316;30;17;17;4;13;0;0;6;1;3;0;0;1;0;1
113;1;338409;245;57;4;3;0;10;12;0;0;0;0;0;0;0;0;0;2
114;1;258337;427;220;9;0;10;9;2;0;14;5;1;0;0;0;0;0;4
115;1;391551;0;146;0;0;33;0;108;0;0;10;0;9;0;0;8;0;13
116;1;1095930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;1;418446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;1;318816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;1;352026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;1;1069362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;1;471582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1;278913;28;2;0;0;1;15;1;0;0;0;2;0;0;0;0;0;2
124;1;490971;149;265;16;23;0;69;2;2;2;1;0;6;0;0;0;0;2
125;1;351448;211;0;234;71;0;32;0;5;10;0;8;0;4;0;0;0;3
126;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;1;278964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;1;544644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;1;132430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;1;272322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;1;398520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;1;947979;1011;475;0;91;40;78;0;18;45;0;4;15;45;0;3;0;2
134;1;378296;122;84;40;22;0;4;15;0;0;0;0;8;1;0;0;0;2
135;1;365043;0;95;0;0;33;0;49;0;0;8;0;4;0;0;12;0;66
136;1;404327;438;169;100;70;0;10;10;13;6;2;0;0;0;2;13;0;2
137;1;338482;0;0;144;0;0;85;0;0;10;0;0;10;0;0;0;0;11
138;1;358345;115;0;87;28;0;9;4;0;12;66;0;0;0;0;0;0;2
139;1;318688;75;23;21;0;0;2;1;3;1;0;0;0;0;0;0;0;2
140;1;411691;84;24;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2
141;1;450327;734;327;144;62;23;5;13;0;15;1;0;3;0;0;1;0;1
142;1;365083;140;59;15;2;0;2;2;0;5;0;0;0;0;0;0;0;2
143;1;570575;457;66;21;41;14;13;14;0;6;0;1;0;1;1;0;0;2
144;1;371526;0;166;0;217;0;11;0;0;6;0;9;0;15;0;1;0;1
145;1;390474;0;1032;0;210;0;93;0;20;0;8;0;0;0;26;0;0;15
146;1;331906;0;99;0;0;37;0;10;0;0;44;0;0;0;0;3;0;1
147;1;418032;0;195;0;0;117;0;10;0;0;8;0;5;0;0;13;0;66
148;1;497493;236;302;13;24;0;70;0;1;2;1;0;6;0;0;0;0;2
149;1;734724;1560;408;0;219;125;122;0;22;2;0;37;39;1;0;0;1;2
150;1;471582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;1;1080325;1151;524;330;135;20;16;27;6;14;1;0;11;62;9;11;3;1
152;1;629709;917;0;190;71;0;27;14;0;25;26;0;1;2;0;6;0;2
153;1;1299757;1128;408;351;46;43;17;30;0;13;6;0;9;1;14;1;0;8
154;1;397523;532;214;87;98;20;26;2;0;2;8;2;0;2;0;3;0;1
155;1;371929;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3
156;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;1;451435;93;0;51;0;3;0;5;0;61;0;0;0;0;2;0;0;6
161;1;477677;147;268;26;17;0;78;0;1;2;0;0;6;0;0;0;0;2
162;1;46740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;1;411176;226;261;15;3;109;0;9;0;0;0;1;0;2;0;1;0;1
164;1;570581;362;230;19;4;2;0;0;2;0;5;1;1;0;1;1;0;3
165;1;364628;447;155;25;2;0;20;2;0;22;3;0;3;0;1;0;0;2
166;1;351607;0;150;0;220;0;11;0;0;20;0;0;0;16;0;1;0;1
167;1;423943;768;247;72;11;14;0;17;0;0;14;0;0;0;0;1;0;1
168;1;325206;0;111;0;0;79;0;11;0;0;47;0;0;0;0;3;0;1
169;1;351653;280;21;49;2;2;3;10;3;1;0;0;0;0;0;0;0;2
170;1;470861;263;306;30;31;0;78;0;2;2;1;0;6;0;0;0;0;2
171;1;470975;177;281;26;32;0;78;0;2;2;1;0;6;0;0;0;0;2
172;1;371718;122;80;1;9;0;2;13;0;5;0;0;0;0;0;0;0;2
173;1;371683;91;82;43;20;0;5;15;0;0;2;0;8;1;0;0;0;2
174;1;1113917;975;420;305;63;30;26;13;21;4;13;1;0;0;52;1;9;6
175;1;470894;254;306;26;20;0;70;0;1;2;1;0;6;0;0;0;0;2
176;1;343942;0;1003;0;336;0;32;0;17;0;25;0;1;0;26;0;0;2
177;1;477745;124;240;12;22;0;69;0;1;2;1;0;6;0;0;0;0;2
178;1;151514;208;68;43;20;17;8;1;2;0;2;2;0;0;2;2;8;8
179;1;437325;666;218;0;30;13;63;0;12;25;0;14;2;0;0;0;2;2
180;1;351749;78;0;68;5;0;11;101;0;0;9;0;0;2;0;1;0;2
181;1;345324;0;27;0;0;25;0;3;0;0;1;0;0;0;0;0;0;4
182;1;344537;413;0;205;149;0;42;11;0;10;13;0;0;2;0;0;0;2
183;1;391654;53;111;15;18;15;0;2;0;5;1;0;1;2;0;0;0;1
184;1;457737;416;0;95;22;0;9;0;2;0;0;13;0;0;1;0;1;2
185;1;391062;328;195;197;65;0;5;21;0;1;0;0;2;0;0;0;0;2
186;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;1;385236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;1;338742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;1;1089288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;1;398520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;1;504792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;1;418446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;1;278964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;1;464426;126;255;25;18;0;79;0;1;2;0;0;6;0;0;0;0;2
196;1;424464;401;84;45;75;0;14;1;2;0;0;0;0;0;0;0;0;2
197;1;609815;0;792;0;189;0;153;0;60;0;17;0;9;0;13;0;15;1
198;1;983016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;1;352026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
